run_name,architecture,lr_d,lr_g,final_iteration,final_d_loss,final_g_loss,final_k1,final_d1,rmse
run_lstm_lr_d0.0005_lr_g0.0025,lstm,0.0005,0.0025,20.0,0.410092137700745,0.9193878521931172,0.6295468733261423,0.0036284807944643,2.9266353
run_cnn_lr_d0.00025_lr_g0.000125,cnn,0.00025,0.000125,20.0,0.6379186247076307,0.5753960631018132,0.3992269082966463,0.0098378236365169,1.0943325
run_lstm_lr_d0.000225_lr_g0.000125,lstm,0.000225,0.000125,20.0,0.1728014063356178,0.951229684021771,0.3331340920032091,0.0083841544567942,1.8886415
run_mlp_lr_d0.0005_lr_g0.0025,mlp,0.0005,0.0025,20.0,,inf,0.2454442134870993,0.2029077501365841,184.99844
run_mlp_lr_d0.0005_lr_g0.05,mlp,0.0005,0.05,20.0,2.434028909712132e-05,1.0095718756103516,0.0008292486239324,0.0005597499875617,30.279188
run_lstm_lr_d0.000225_lr_g0.0025,lstm,0.000225,0.0025,20.0,0.0321589611603745,0.9847708580976724,0.2137844987130545,0.0051864692225509,1.0315651
run_cnn_lr_d0.0005_lr_g0.0025,cnn,0.0005,0.0025,20.0,0.7006368126188006,0.5612536520043016,0.1767303158754978,0.0033841380746511,1.0464535
run_mlp_lr_d0.00025_lr_g0.0025,mlp,0.00025,0.0025,20.0,0.0174727323764402,0.8858955694383382,0.314033284292199,0.0058122038771259,1.326434
run_lstm_lr_d0.000225_lr_g0.05,lstm,0.000225,0.05,20.0,0.0613380011836332,0.9780290864472092,0.1024505813804984,0.0004235009908601,3.664236
run_cnn_lr_d0.000225_lr_g0.000125,cnn,0.000225,0.000125,20.0,0.6794136298554284,0.6030648270204664,0.4011404091106675,0.0099363501580077,1.5128905
run_lstm_lr_d0.00025_lr_g0.0025,lstm,0.00025,0.0025,20.0,0.0466085286744471,0.9790072988519072,0.1445446352333651,0.0043214807204648,1.016223
run_mlp_lr_d0.00025_lr_g0.000125,mlp,0.00025,0.000125,20.0,0.0087874989191602,0.9989388738080488,0.4584241024670261,0.0111532719481091,3.2038808
run_mlp_lr_d0.000225_lr_g0.05,mlp,0.000225,0.05,20.0,1.7640949499764248e-05,1.0022419687077664,4.621693544138586e-05,0.0010452469831752,13.553449
run_cnn_lr_d0.000225_lr_g0.05,cnn,0.000225,0.05,20.0,0.6765726264033998,0.5954173431503773,0.1352248202622601,0.0040689937299382,0.9576011
run_lstm_lr_d0.0005_lr_g0.000125,lstm,0.0005,0.000125,20.0,0.056462700072942,0.9854041325636952,0.3951247801910617,0.0083531081420173,2.9504652
run_cnn_lr_d0.0005_lr_g0.05,cnn,0.0005,0.05,20.0,0.0004210516082301,1.0008316802302897,0.0048202665686209,0.0001230985015533,8.377463
run_mlp_lr_d0.000225_lr_g0.000125,mlp,0.000225,0.000125,20.0,0.0134219566077393,0.9930929881973192,0.4227676816482492,0.0111972859319512,3.2614548
run_lstm_lr_d0.00025_lr_g0.05,lstm,0.00025,0.05,20.0,0.0095189081904079,0.9928025463354216,0.6239368702962959,0.0148003190025735,3.2151845
run_lstm_lr_d0.0005_lr_g0.05,lstm,0.0005,0.05,20.0,0.0703158071929855,0.986316512055546,0.2015039811791225,0.0004180756656255,3.0295296
run_mlp_lr_d0.000225_lr_g0.0025,mlp,0.000225,0.0025,20.0,0.6818761342338153,0.5775604908253252,0.4747893866913101,0.0022315451887912,1.4880795
run_cnn_lr_d0.000225_lr_g0.0025,cnn,0.000225,0.0025,20.0,0.5776900438325746,0.7327893711733818,0.3175451559450226,0.0082615371197719,1.8634571
run_cnn_lr_d0.00025_lr_g0.05,cnn,0.00025,0.05,20.0,0.5449112406798772,0.3692189183139801,0.080788384001931,0.0028443635207175,1.0094275
run_lstm_lr_d0.00025_lr_g0.000125,lstm,0.00025,0.000125,20.0,0.0990158359387091,0.9585851220178604,0.5062365400258529,0.0125162061005022,3.7760224
run_mlp_lr_d0.00025_lr_g0.05,mlp,0.00025,0.05,20.0,1.5606130130306286e-05,1.0004512377477963,0.6453382185878036,0.0190593342851748,7.404857
run_cnn_lr_d0.0005_lr_g0.000125,cnn,0.0005,0.000125,20.0,0.5047755550060954,0.5974908177435398,0.3666750653764385,0.0090560165127495,1.1450999
run_cnn_lr_d0.00025_lr_g0.0025,cnn,0.00025,0.0025,20.0,0.6225809976458551,0.6328358947077394,0.2378565861117951,0.0049687562995887,1.1115348
run_mlp_lr_d0.0005_lr_g0.000125,mlp,0.0005,0.000125,20.0,0.016885153847813,0.9999671105757592,0.3947354601789382,0.0081904790224031,2.5836976
